PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
59408,20060731,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20060830,47.98,51.66,51.53,2415816,0.07131,51.46,51.47,4527941,1,1,51.53,,20060731,0.07131,-0.001884,-0.002927,-0.022698,-0.023752,0.005086
59408,20060831,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20060726,20060922,20060901,0,,,1232,0.56,0,0,,,20060928,51.13,52.51,51.47,2487779,0.009703,51.47,51.49,4525879,1,1,51.47,,20060831,-0.001164,0.025048,0.022975,0.025011,0.023562,0.021274
59408,20060929,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20061030,51.18,53.57,53.57,2313981,0.0408,53.61,53.62,4525879,1,1,53.57,,20060929,0.0408,0.019424,0.018105,0.009006,0.007433,0.024566
59408,20061031,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20061129,53.26,54.82,53.87,2405474,0.0056,53.81,53.85,4498145,1,1,53.87,,20061031,0.0056,0.037125,0.036078,0.046211,0.045185,0.031508
59408,20061130,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20061025,20061222,20061201,0,,,1232,0.56,0,0,,,20061228,53.43,54.9,53.85,2175283,0.010024,53.86,53.87,4490688,1,1,53.85,,20061130,-0.000371,0.023705,0.02134,0.031168,0.029505,0.016467
59408,20061229,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20070130,51.66,53.77,53.39,2856616,-0.008542,53.3,53.35,4490688,1,1,53.39,,20061229,-0.008542,0.010856,0.009153,0.0148,0.012585,0.012616
59408,20070131,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20070227,51.46,53.67,52.58,3074898,-0.015171,52.54,52.55,4458151,1,1,52.58,,20070131,-0.015171,0.019404,0.018468,0.022283,0.021357,0.014059
59408,20070228,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20070124,20070323,20070302,0,,,1232,0.56,0,0,,,20070329,50.8,54.05,50.83,2706259,-0.022632,50.83,50.87,4472315,1,1,50.83,,20070228,-0.033283,-0.013994,-0.015986,0.00211,0.000857,-0.021846
59408,20070330,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20070429,49.46,51.86,51.02,3817497,0.003738,51.01,51.02,4472315,1,1,51.02,,20070330,0.003738,0.012946,0.011471,0.006545,0.004805,0.00998
59408,20070430,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20070530,50.28,51.82,50.9,3221234,-0.002352,50.84,50.87,4439070,1,1,50.9,,20070430,-0.002352,0.039821,0.038455,0.027044,0.025768,0.043291
59408,20070531,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20070425,20070622,20070601,0,,,1232,0.56,0,0,,,20070628,50.58,51.5,50.71,3211506,0.007269,50.7,50.73,4437771,1,1,50.71,,20070531,-0.003733,0.038932,0.036643,0.023123,0.021362,0.032549
59408,20070629,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20070730,48.8,50.85,48.89,3970905,-0.03589,48.84,48.86,4437771,1,1,48.89,,20070629,-0.03589,-0.014754,-0.016117,-0.007906,-0.009856,-0.017816
59408,20070731,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20070830,47.15,49.8,47.42,5249133,-0.030068,47.38,47.41,4436936,1,1,47.42,,20070731,-0.030068,-0.031758,-0.032762,-0.043537,-0.044642,-0.031982
59408,20070831,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20070927,47,51.87,50.68,8317244,0.068747,50.67,50.69,4437353,1,1,50.68,,20070831,0.068747,0.011631,0.009678,-0.011737,-0.013312,0.012864
59408,20070928,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20070725,20070928,20070907,0,,,1232,0.64,0,0,,,20071030,48.96,51.24,50.27,4305041,0.004538,50.26,50.29,4437353,1,1,50.27,,20070928,-0.00809,0.040849,0.039332,0.025363,0.023661,0.035794
59408,20071031,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20071129,47,52.71,48.28,5361352,-0.039586,48.22,48.28,4436855,1,1,48.28,,20071031,-0.039586,0.025833,0.024692,0.017406,0.016144,0.014822
59408,20071130,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20071230,41.88,46.27,46.13,7701412,-0.044532,46.14,46.18,4438318,1,1,46.13,,20071130,-0.044532,-0.04922,-0.051168,-0.076608,-0.078109,-0.044043
59408,20071231,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20071024,20071228,20071207,0,,,1232,0.64,0,0,,,20080130,41.1,46.64,41.26,5902500,-0.091697,41.15,41.18,4438318,1,1,41.26,,20071231,-0.105571,-0.004434,-0.006522,-0.010989,-0.014282,-0.008628
59408,20080131,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20080228,35.97,44.15,44.15,12008427,0.070044,44.07,44.19,4437885,1,1,44.15,,20080131,0.070044,-0.062147,-0.063252,-0.045082,-0.04616,-0.061163
59408,20080229,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20080330,39.74,45.03,39.74,7869503,-0.099887,39.73,39.75,4442229,1,1,39.74,,20080229,-0.099887,-0.021664,-0.023605,-0.021401,-0.022916,-0.034761
59408,20080331,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20080123,20080328,20080307,0,,,1232,0.64,0,0,,,20080429,35.31,42.45,37.91,10550680,-0.029945,37.85,37.88,4442229,1,1,37.91,,20080331,-0.046049,-0.01042,-0.012158,-0.02531,-0.027567,-0.00596
59408,20080430,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20080529,35.58,40.86,37.54,8087140,-0.00976,37.54,37.58,4452810,1,1,37.54,,20080430,-0.00976,0.051105,0.049781,0.031907,0.03049,0.047547
59408,20080530,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20080629,33.87,39.79,34.01,7957283,-0.094033,33.98,34.01,4452784,1,1,34.01,,20080530,-0.094033,0.023841,0.021528,0.031786,0.029774,0.010674
59408,20080630,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20080423,20080627,20080606,0,,,1232,0.64,0,0,,,20080630,23.87,33.58,23.87,14183470,-0.27933,23.77,23.8,4452784,1,1,23.87,,20080630,-0.298148,-0.078433,-0.080247,-0.086625,-0.088745,-0.085962
59408,20080731,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20080828,18.52,33.61,32.9,26443979,0.378299,32.89,32.9,4452947,1,1,32.9,,20080731,0.378299,-0.013328,-0.014677,-0.001296,-0.002657,-0.009859
59408,20080829,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20080929,28.08,33.58,31.14,12563690,-0.053496,31.1,31.11,4560113,1,1,31.14,,20080829,-0.053496,0.010564,0.008574,0.013023,0.011122,0.012191
59408,20080930,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20080723,20080926,20080905,0,,,1232,0.64,0,0,,,20081030,26.55,37.48,35,23326782,0.144509,34.68,35.1,4560113,1,1,35,,20080930,0.123956,-0.098007,-0.099796,-0.120095,-0.122188,-0.090791
59408,20081031,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20081127,19.63,38.13,24.17,28876130,-0.309429,23.54,23.6,5017055,1,1,24.17,,20081031,-0.309429,-0.184603,-0.186091,-0.205222,-0.206835,-0.169425
59408,20081128,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20081230,11.25,24.53,16.25,24413274,-0.327679,16.21,16.22,5017579,1,1,16.25,,20081128,-0.327679,-0.084615,-0.087354,-0.13032,-0.132591,-0.074849
59408,20081231,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20081006,20081226,20081205,0,,,1232,0.32,0,0,,,20090101,12.75,17.84,14.08,22788998,-0.113846,14,14.04,5017579,1,1,14.08,,20081231,-0.133538,0.022148,0.019081,0.042177,0.037024,0.007822
